Time,Voltage(V),Current(A),Power(W),Leakage Current(mA),total_forward_energy(kWh),price(DZD)
2025-08-12 22:30:01,355.92,7.68,24.2,0,16.6,88.53719999999998
2025-08-12 22:30:11,343.12,7.68,22.2,0,16.6,88.53719999999998
2025-08-12 22:30:21,358.48,7.68,21.2,0,16.6,88.53719999999998
2025-08-12 22:30:31,373.84,7.68,20.2,0,16.6,88.53719999999998
2025-08-12 22:30:41,373.84,7.68,20.2,0,16.6,88.53719999999998
2025-08-12 22:30:52,368.72,7.68,20.2,0,16.6,88.53719999999998
2025-08-12 22:31:02,389.2,7.68,20.2,0,16.6,88.53719999999998
2025-08-12 22:31:12,384.08,7.68,20.2,0,16.6,88.53719999999998
2025-08-12 22:31:22,389.2,7.68,20.2,0,16.6,88.53719999999998
2025-08-12 22:31:33,396.88,7.68,20.2,0,16.6,88.53719999999998
2025-08-12 22:31:43,384.08,7.68,20.2,0,16.6,88.53719999999998
2025-08-12 22:31:53,371.28,7.68,20.2,0,16.6,88.53719999999998
2025-08-12 22:32:03,384.08,7.68,20.2,0,16.6,88.53719999999998
2025-08-12 22:32:13,368.72,7.68,20.2,0,16.6,88.53719999999998
2025-08-12 22:32:23,363.6,7.68,20.2,0,16.6,88.53719999999998
2025-08-12 22:32:34,378.96,7.68,20.2,0,16.6,88.53719999999998
2025-08-12 22:32:44,373.84,7.68,20.2,0,16.6,88.53719999999998
2025-08-12 22:32:54,391.76,7.68,20.2,0,16.6,88.53719999999998
2025-08-12 22:33:04,391.76,7.68,19.2,0,16.61,88.53719999999998
2025-08-12 22:33:14,404.56,7.68,19.2,0,16.61,88.53719999999998
2025-08-12 22:33:24,399.44,7.68,19.2,0,16.61,88.53719999999998
2025-08-12 22:33:34,386.64,7.68,22.2,0,16.61,88.53719999999998
2025-08-12 22:33:44,389.2,7.68,22.2,0,16.61,88.53719999999998
2025-08-12 22:33:55,396.88,7.68,22.2,0,16.61,88.53719999999998
2025-08-12 22:34:05,402.0,7.68,22.2,0,16.61,88.53719999999998
2025-08-12 22:34:15,402.0,7.68,21.2,0,16.61,88.53719999999998
2025-08-12 22:34:25,384.08,7.68,22.2,0,16.61,88.53719999999998
2025-08-12 22:34:35,378.96,7.68,23.2,0,16.61,88.53719999999998
2025-08-12 22:34:45,386.64,7.68,22.2,0,16.61,88.53719999999998
2025-08-12 22:34:55,394.32,7.68,22.2,0,16.61,88.53719999999998
2025-08-12 22:35:06,391.76,7.68,22.2,0,16.61,88.53719999999998
2025-08-12 22:35:16,404.56,7.68,22.2,0,16.61,88.53719999999998
2025-08-12 22:35:26,396.88,7.68,22.2,0,16.61,88.53719999999998
2025-08-12 22:35:36,396.88,7.68,22.2,0,16.61,88.53719999999998
2025-08-12 22:35:46,394.32,7.68,22.2,0,16.61,88.53719999999998
2025-08-12 22:35:56,394.32,7.68,22.2,0,16.61,88.53719999999998
2025-08-12 22:36:07,391.76,7.68,22.2,0,16.61,88.53719999999998
2025-08-12 22:36:17,378.96,7.68,22.2,0,16.62,88.53719999999998
2025-08-12 22:36:27,386.64,7.68,22.2,0,16.62,88.53719999999998
2025-08-12 22:36:37,389.2,7.68,21.2,0,16.62,88.53719999999998
2025-08-12 22:36:47,402.0,7.68,21.2,0,16.62,88.53719999999998
2025-08-12 22:36:57,396.88,7.68,21.2,0,16.62,88.53719999999998
2025-08-12 22:37:08,394.32,7.68,21.2,0,16.62,88.53719999999998
2025-08-12 22:37:18,391.76,7.68,22.2,0,16.62,88.53719999999998
2025-08-12 22:37:28,391.76,7.68,22.2,0,16.62,88.53719999999998
2025-08-12 22:37:38,363.6,7.68,24.2,0,16.62,88.53719999999998
2025-08-12 22:37:48,384.08,7.68,21.2,0,16.62,88.53719999999998
2025-08-12 22:37:58,335.44,7.68,25.2,0,16.62,88.53719999999998
2025-08-12 22:38:08,391.76,7.68,22.2,0,16.62,88.53719999999998
2025-08-12 22:38:18,350.8,7.68,23.2,0,16.62,88.53719999999998
2025-08-12 22:38:29,363.6,7.68,25.2,0,16.62,88.53719999999998
2025-08-12 22:38:39,381.52,7.68,24.2,0,16.62,88.53719999999998
2025-08-12 22:38:49,368.72,7.68,24.2,0,16.62,88.53719999999998
2025-08-12 22:38:59,378.96,7.68,21.2,0,16.62,88.53719999999998
